日期,收盘价,净值,估值,溢价率
12/16/2024,1.6070,1.5468,37.3819,5.8421%
12/17/2024,1.6540,1.5357,37.2287,6.8406%
12/18/2024,1.6630,1.4840,35.8476,8.3317%
12/19/2024,1.6110,1.4784,35.8292,8.7191%
12/20/2024,1.5770,1.4949,36.2814,6.7271%
12/23/2024,1.6360,1.5179,37.4504,9.3583%
12/24/2024,1.6370,1.5348,37.8274,7.7257%
12/25/2024,1.6440,1.5346,37.8274,7.0661%
12/26/2024,1.6560,1.5358,37.8037,7.8968%
12/27/2024,1.6380,1.5152,37.2463,6.6892%
12/30/2024,1.6140,1.4962,36.8413,6.5839%
12/31/2024,1.6100,1.4804,36.4220,7.6635%
1/2/2025,1.6320,1.4834,36.4805,10.2926%
1/3/2025,1.6210,1.5070,37.1096,9.2539%
1/6/2025,1.6600,1.5350,37.9059,10.0650%
1/7/2025,1.6610,1.5025,37.0730,8.0958%
1/8/2025,1.6490,1.4993,36.9908,9.8601%
1/9/2025,1.6360,1.4992,36.9908,9.1394%
1/10/2025,1.6260,1.4741,36.3119,8.4506%
1/13/2025,1.5850,1.4635,35.9927,7.6254%
1/14/2025,1.6110,1.4600,35.8284,10.1011%
1/15/2025,1.5960,1.4953,36.7858,9.3151%
1/16/2025,1.6320,1.4816,36.3080,9.0180%
1/17/2025,1.6240,1.5079,36.9219,9.6556%
1/20/2025,1.6420,1.5077,36.9219,8.8066%
1/21/2025,1.6390,1.5122,37.0579,8.6942%
1/22/2025,1.6430,1.5369,37.7547,8.3559%
1/23/2025,1.6310,1.5389,37.7697,6.0330%
1/24/2025,1.6380,1.5325,37.6489,6.4466%
1/27/2025,1.6050,1.4564,35.7709,4.7445%
2/5/2025,1.5900,1.5032,35.3195,5.9153%
2/6/2025,1.6010,1.5135,35.6098,6.3081%
2/7/2025,1.5960,1.4935,35.0711,5.4092%
2/10/2025,1.5840,1.5158,35.5198,6.1378%
2/11/2025,1.5930,1.5158,35.5860,5.0307%
2/12/2025,1.5980,1.5175,35.5554,5.4368%
2/13/2025,1.5980,1.5392,36.2743,5.2909%
2/14/2025,1.6050,1.5458,36.4573,4.2072%
2/17/2025,1.6170,1.5456,36.4573,4.5587%
2/18/2025,1.6440,1.5474,36.4467,6.3527%
2/19/2025,1.6280,1.5456,36.4469,5.1951%
2/20/2025,1.6050,1.5396,36.3563,3.8566%
2/21/2025,1.5930,1.5006,35.4866,3.5222%
2/24/2025,1.5670,1.4743,34.9741,4.5364%
2/25/2025,1.5420,1.4480,34.4146,4.7199%
2/26/2025,1.5500,1.4625,34.0107,7.1552%
2/27/2025,1.5540,1.4097,32.7818,6.2056%
2/28/2025,1.4760,1.4312,33.3439,4.9264%
3/3/2025,1.5000,1.3896,32.2924,4.7120%
3/4/2025,1.4490,1.3929,32.4496,4.4475%
3/5/2025,1.4740,1.4147,32.9346,5.7996%
3/6/2025,1.4720,1.3723,31.8818,3.9254%
3/7/2025,1.4490,1.3922,32.2681,5.7433%
3/10/2025,1.4430,1.3304,30.7555,3.5745%
3/11/2025,1.3760,1.3328,30.7061,3.7473%
3/12/2025,1.3820,1.3546,31.1827,3.6915%
3/13/2025,1.3840,1.3277,30.5149,2.0122%
3/14/2025,1.3990,1.3664,31.4067,5.5371%
3/17/2025,1.4040,1.3686,31.3848,2.6016%
3/18/2025,1.4100,1.3434,30.7511,2.9347%
3/19/2025,1.3970,1.3620,31.2102,4.1682%
3/20/2025,1.4380,1.3590,31.0868,5.4407%
3/21/2025,1.4270,1.3648,31.2772,5.1274%
